week,Frontline Socialist Party,Jathika Hela Urumaya,Janatha Vimukthi Peramuna,Sri Lanka Muslim Congress,Sri Lanka Freedom Party,United National Party
1,2,2,2,6,5,1
2,4,2,3,6,4,1
3,3,1,2,3,3,3
4,5,2,4,5,1,2
5,5,3,4,5,1,2
6,4,4,3,4,1,1
7,2,5,4,6,1,3
8,2,3,5,6,1,3
9,3,4,5,6,2,1
10,3,6,4,5,2,1
11,2,6,3,3,3,1
12,5,6,2,4,3,1
13,4,4,2,2,4,1
14,4,4,2,3,4,1
15,5,6,2,3,4,1
